EEG.AF3,EEG.T7,EEG.Pz,EEG.T8,EEG.AF4
1.77669874,-2.38551066,2.14192798,-6.80196211,24.80842818
6.48658686,-4.24735394,3.19714241,-16.56701026,53.02921940
10.59741708,-0.25807113,2.75672721,-17.19176603,44.58421743
12.54034590,0.46404349,8.73793750,-11.36719824,43.50381141
13.49665536,-6.26729779,10.58387354,-4.56886247,51.54922302
11.56456375,-7.31052415,1.26363242,-4.75331094,46.85260266
6.20644617,1.91075123,-1.08561463,-5.01331443,46.34479440
-2.20829921,1.58201756,3.13928905,-1.79168262,40.31500234
-7.18134241,-12.00004083,-0.29703414,-9.98231439,27.77850065
2.66312573,-7.41456034,-2.03988928,-16.70919368,30.16841042
20.46094125,13.94728498,3.31175579,-5.85215387,45.36241388
28.85869744,18.93304484,6.56917629,9.38663366,53.15775833
25.67368803,6.28823156,4.08714182,9.56699612,47.92369989
25.85259034,4.41327873,-2.75184936,-2.87431761,47.18577320
40.23032352,13.95332073,-6.49397242,-5.94903095,68.70381965
67.53641619,6.59878956,-4.12541047,3.69460992,103.68763242
108.96689794,-2.40502678,1.30477108,9.19892406,144.56384400
151.20311133,7.20542696,7.13034808,4.16759666,186.90709347
179.09116319,16.49236903,15.79716134,7.91704774,218.62360409
202.93816772,18.33138373,25.53888073,24.02039653,241.33810420
210.65588109,15.23307508,18.96598700,18.78185151,242.85232152
180.36175427,12.75606143,4.06010590,-1.69886578,207.62421384
136.25518010,13.35382065,2.32807890,-4.85541961,159.58606762
107.18157762,10.48889090,1.38552290,0.44581700,126.52802564
83.84162712,8.45612268,-3.84065857,-3.03705246,102.03919369
52.82515399,10.97504957,1.08406483,-13.73168821,69.95016539
26.33150700,13.90275725,8.71903877,-20.99757240,37.52730157
13.47319681,13.05329827,6.03321805,-22.39317563,13.90559255
11.69780294,16.90665395,0.76183495,-21.89853044,0.74003668
10.68954953,27.31435483,-1.57562933,-21.78228897,-4.51156634
-4.78760053,25.87528358,-8.50190590,-31.35358800,-19.68668652
-16.40401013,17.97198345,-16.26199408,-42.11112244,-37.72547603
-9.21950499,12.26758942,-19.59471400,-42.74686289,-40.29262236
-6.59614481,2.98678768,-22.56957431,-45.39743666,-42.51826394
-8.18875371,0.42397371,-18.04920931,-47.01706836,-49.17788496
0.48333765,2.34543289,-7.27841990,-37.66305914,-47.60952985
5.36472494,3.20224313,-3.23158795,-28.12462493,-43.40829689
-0.60555864,7.66120728,-5.24626995,-30.72113285,-47.89083030
-4.50361549,9.49467494,-4.53676148,-39.25894978,-55.16041760
-0.06400541,13.14387401,8.33323662,-35.54304448,-49.34239937
6.21603906,20.01746238,21.83145072,-23.40427787,-36.41681224
6.71119632,21.53865930,17.36053133,-19.87668931,-31.92797590
2.64667894,19.77849870,7.51822722,-22.85595955,-33.00283743
1.38453083,19.86153681,6.50289720,-22.70980720,-33.07667444
2.99174407,22.53635720,9.07501962,-16.40101003,-29.77879751
-0.12353402,19.56800664,9.58789019,-11.68349522,-26.03881999
0.12205799,14.00723657,9.04241838,-11.36091819,-23.48733808
7.64082321,14.23508597,7.53206358,-8.73496455,-21.11244413
7.21643057,14.02498032,2.74113162,-8.55495822,-20.98986387
5.47024562,15.65263694,2.17675864,-10.30284297,-18.92400207
8.44913424,13.89446693,4.08933778,-9.87555356,-20.59102546
4.32217769,3.94634028,-1.91325000,-8.98116358,-29.93420369
-1.04781462,5.57734695,-6.04636532,-2.91034935,-31.56041459
-4.27772095,9.13028218,-7.83965069,-1.10629897,-31.42370755
-7.46644891,0.77930731,-11.68599062,-4.39109440,-34.33495636
-6.93254139,0.03800364,-4.67148376,2.48240401,-26.57522554
-9.63172314,7.28913407,6.36949093,8.55624126,-22.09153803
-13.61649847,8.29045951,6.74516411,7.96710990,-29.38991405
-13.98499513,5.43409367,1.66095525,12.42278244,-30.62863745
-16.57288290,7.21668188,-2.69284227,17.00910515,-22.20763256
-16.79468141,7.58157247,-5.81161080,13.16088689,-17.02719659
-12.97150261,4.62107118,-2.36970059,11.76133456,-18.57376387
-13.45347316,11.80155089,6.27968239,21.17511402,-15.55926682
-14.16995136,20.25147987,7.28693789,26.84995008,-9.61139286
-5.56312652,18.32725398,6.95332587,25.50563714,-7.39188149
1.18293271,14.43011766,12.45930633,26.18211678,-6.22997316
-3.67195705,11.90481668,10.65166697,26.68845086,-8.24637484
-6.50319040,13.17369155,8.05447757,30.03830229,-13.17483054
-6.46473994,16.35995932,10.70966927,32.91138569,-17.87396104
-9.79766752,16.91223574,1.91570496,26.68177068,-19.82371562
-17.37351924,13.67048695,-7.37052380,20.10698020,-24.42596276
-25.31559038,10.99942544,3.27819488,22.52923942,-30.06724254
-12.33783091,17.29419330,13.81254610,29.12187701,-18.97756398
9.11512389,20.62099034,4.79133838,23.67242209,-7.08718632
8.68295861,16.26717991,-2.81171647,14.09488553,-10.52605015
2.56881712,14.42236040,3.02105887,23.89568796,-8.26308971
4.51050594,13.95619173,2.48793616,38.31647388,-2.82646117
1.77252531,17.98578249,-5.72215501,39.35303781,-8.99488891
-5.45088323,19.13388872,-8.43414524,33.82822715,-18.48282951
-9.48232174,11.83692792,-5.43418246,32.59328632,-21.03589487
-13.04613189,11.88023018,-3.60973044,39.28387421,-18.28001456
-17.28381334,17.06846394,-11.80294477,41.17149161,-17.01698951
-16.49728081,15.18723644,-18.54549491,35.51616637,-15.90729469
-15.34380612,5.86879694,-13.44132679,32.82719850,-15.11288443
-17.65023217,1.35749678,-9.65656680,37.84273688,-15.87866215
-16.87029649,7.96819188,-6.79952643,46.87797284,-13.82796555
-19.72613936,8.91467271,-5.66912129,43.62448528,-17.35357660
-34.64978264,3.72404821,-16.17506907,29.11715085,-31.68974020
-47.03524821,4.82034323,-21.19278915,23.12106966,-40.59000746
-39.96284665,10.11576608,-6.71335690,32.30674129,-31.16656186
-24.98063219,15.45064589,5.86201859,48.86126624,-14.21866030
-22.15110423,12.08116828,3.48643592,58.18261281,-9.75885398
-24.62500945,6.99537491,2.56430206,56.72177104,-13.20131083
-23.67026000,15.03027179,2.09173957,48.60755664,-14.78499027
-27.90129494,17.59869927,-11.60898794,35.60834312,-22.63744504
-34.36547178,5.03845308,-22.37140532,28.24276720,-32.04950313
-31.46050506,1.59721196,-19.68414170,30.11615580,-31.06530484
-23.09195122,13.27465844,-15.34309861,33.13509586,-23.35813612
-22.99007757,13.87792016,-14.27556814,33.12377684,-23.00538671
-31.17353910,1.97356137,-17.23608052,31.10949177,-30.15677027
-33.39521250,5.92668289,-17.98762185,32.72859208,-25.56829758
-33.66389723,16.88273652,-15.33982427,32.37084861,-16.44962700
-42.50706987,18.80701166,-14.10234693,26.56227661,-23.29955565
-50.41360705,20.09071518,-14.36150554,26.34288945,-31.13571728
-51.23449969,12.87248350,-23.62767062,30.44983012,-20.87141636
-47.56260783,0.14017604,-34.30174468,36.02789663,-3.32317856
-45.88711608,0.67056283,-31.56286772,40.75563728,1.14760390
-53.76269099,11.51709003,-25.20277933,37.90416234,-3.08911217
-65.13965612,17.79732645,-29.53901823,29.88024495,-5.19968422
-69.30131483,14.94025717,-38.06940208,23.00184453,-14.30036622
-63.78590520,12.89558230,-32.91896080,25.31735655,-22.13255838
-56.97449691,14.88098716,-23.50285636,29.47453696,-15.38847867
-57.15358703,13.59153276,-31.16310376,24.66155490,-9.17498322
-59.21740399,6.48698411,-42.20379572,18.94946867,-14.57169526
-57.32906417,-2.24251199,-41.85133111,14.34730949,-23.10819674
-54.51568222,-5.59748494,-44.16810372,11.02035383,-24.64128624
-52.52731250,-9.08099981,-49.95543508,12.58135927,-22.05225301
-45.14323535,-12.63474159,-41.31806936,16.30215244,-16.77494880
-33.68422496,-3.55499748,-27.83681985,19.95775243,-8.22089813
-23.50744365,10.16158309,-28.99232431,22.29615249,-0.50605942
-0.08292497,19.28018160,-31.28043583,27.46180611,26.38024927
40.95469122,22.65449320,-28.38856145,30.81117943,78.00135970
82.86967463,24.99306918,-30.62577346,28.55738385,125.57513445
129.78417136,36.59192002,-28.56980351,37.09043078,178.32886258
190.99562353,41.98045400,-25.01344830,50.24139846,258.14036683
243.82361502,36.65740333,-34.14034642,50.58660239,328.18700099
253.98663172,40.00778734,-42.56879890,49.10883693,338.04378140
222.89719179,43.79108131,-36.72680696,53.43316232,297.79885219
185.63422333,34.38984911,-34.02700040,52.16690568,251.45561943
151.58065391,19.61215200,-52.48067268,38.03881483,204.51866571
108.51690105,11.17320709,-73.75252394,24.07211485,146.98919749
68.78509846,7.33821965,-81.43858024,21.52407431,96.91703681
43.73455637,1.81779912,-91.64464174,19.55993061,61.44370392
22.19338909,1.77814261,-102.08791692,13.46541690,30.40940037
-4.60781348,1.31360847,-99.06863898,7.00724442,3.83706859
-30.55545393,-6.42503779,-98.34631665,-0.46709935,-19.94351348
-42.63063996,-7.24711742,-104.10652993,-5.06322495,-39.12911717
-38.95785097,2.27170676,-98.94007637,0.89345522,-42.31860982
-40.81440527,6.95714561,-91.69719228,10.10218367,-41.60468252
-66.27533655,-7.42821950,-103.08191705,0.18948423,-60.52305299
-87.55646398,-26.27003326,-113.75334442,-14.31552118,-77.26006961
-80.67454336,-27.28634935,-100.65449011,-9.91529322,-73.71692117
-76.11527966,-19.36797588,-84.13991613,-8.46809744,-78.86387724
-87.87257335,-16.00209829,-75.67777999,-15.66880811,-92.96428706
-98.11820904,-20.14912575,-66.14349953,-17.12937879,-99.77186036
-103.75711211,-24.52660100,-57.33803059,-17.22048131,-105.26737539
-108.50968281,-21.27906853,-50.36405370,-18.52541102,-107.00810824
-112.88238964,-19.56351019,-43.31660352,-20.49004364,-106.17845099
-110.92751569,-17.85224741,-34.21443576,-21.49504765,-105.31550557
-105.18249874,-14.79974718,-29.75470752,-21.63964698,-103.04627917
-109.24617450,-18.02423484,-31.73023186,-20.06418659,-104.64553047
-116.06221964,-19.91445194,-22.53343649,-12.36062163,-105.90082333
-114.08003644,-19.90997923,-11.05084149,-11.58112112,-106.66667392
-115.13695740,-23.65155286,-18.03325396,-20.80442635,-112.81533130
-125.61686329,-31.06034142,-27.69747207,-22.10474665,-118.49874454
-125.83244305,-32.23177846,-23.65231252,-15.31361590,-118.19199941
-114.62597628,-21.43503990,-14.16532777,-7.95561672,-114.77692393
-118.86100112,-19.59382588,-10.08037336,-3.66370641,-113.24857599
-128.92743784,-27.91608022,-10.22721181,-6.30928970,-109.36662174
-122.64899450,-27.96583683,-8.67513713,-12.67744938,-103.22419270
-119.69907298,-27.12452651,-6.03097293,-15.59349343,-102.96336138
-125.94588300,-33.25783101,-2.49717105,-12.86967206,-101.77828250
-123.32759739,-39.26426177,3.96088430,-11.71838582,-94.52308305
-120.57031143,-40.98982064,9.16322460,-11.77465309,-88.94191980
-128.77421637,-38.49635002,5.15957871,-13.85072001,-92.50060691
-136.84816625,-35.19024479,-2.61752241,-26.27923647,-102.24006238
-143.41393651,-38.90186127,-2.63028068,-37.76262642,-106.85186782
-153.54898734,-45.66606732,1.73717261,-37.36517657,-106.14640743
-150.13628842,-39.64269897,12.34920399,-25.79124851,-99.29591173
-132.79355115,-33.16346088,30.11895098,-9.05308493,-86.86523827
-127.83131649,-41.07615084,35.45549107,-1.95149264,-82.89196337
-133.47625744,-44.29446059,26.17635518,-9.48682159,-88.82646527
-136.32506871,-40.62812658,21.11364814,-25.90370308,-97.64856462
-134.40659795,-44.40272365,24.92255146,-33.92441193,-98.71358044
-123.83644270,-53.56136898,24.24965695,-29.66684773,-85.45569972
-104.70534365,-59.23133543,12.67308197,-30.86683476,-64.91238537
-70.14685225,-53.22507665,10.41599430,-27.20115019,-22.51540338
-16.70991108,-49.74149864,21.91179667,-14.02243143,42.32498551
44.03579203,-54.90894471,32.22720471,-8.09173209,105.75002757
107.66250531,-49.67590578,49.46790015,-2.18313625,180.97011798
160.71943731,-42.75244907,66.42556844,4.50855696,254.21659380
175.56769064,-44.34617945,66.15460097,3.77685410,267.65901058
151.94468138,-45.21299134,61.92334322,1.06063906,229.75902793
120.83208341,-41.13972594,61.78100690,-0.10472155,192.61867938
93.55912891,-33.88000086,59.17430332,-0.24081235,155.86145636
53.96378550,-33.76527683,52.74805822,-5.87592052,103.80012867
8.48124691,-41.61107491,46.26777613,-19.20868379,56.11823134
-22.51857830,-50.44064420,44.05169793,-31.50138701,17.94855582
-38.46370369,-52.69462491,48.34952991,-37.50795975,-17.96979372
-49.04025371,-45.89014929,52.86175770,-40.43919087,-43.27989866
-63.39599467,-45.73166442,45.11916923,-47.27260734,-65.06190328
-79.49987067,-54.42775068,33.82218375,-56.45534871,-89.11326008
-90.08546138,-61.47449656,36.00780608,-62.97214321,-106.87561518
-92.33469304,-61.66368090,44.08642969,-64.62563870,-117.74154599
-88.22828105,-54.85666583,44.22016628,-60.83039624,-121.05518645
-88.54287873,-55.32301796,34.61374177,-59.37443836,-120.01326240
-91.08279170,-60.51325663,26.31525687,-59.50949862,-121.49304105
-90.55257688,-54.80567047,28.40780300,-58.04716318,-127.19192321
-95.14972465,-47.81796350,35.54441531,-58.36399703,-133.24021901
-97.72271867,-44.06236746,46.23430646,-52.35636296,-129.90691526
-96.50359204,-44.66891172,52.73903181,-44.63249418,-126.90864401
-103.64453589,-53.46230330,46.46117799,-49.01630172,-135.95701953
-108.48890579,-56.57180117,41.15543337,-57.06557972,-140.82767268
-99.99895089,-54.13672789,40.16010408,-55.54348448,-133.97313694
