EEG.AF3,EEG.T7,EEG.Pz,EEG.T8,EEG.AF4
10.46530,11.27759,13.97940,20.51502,-9.71956
118.65851,17.94710,32.28790,45.60330,75.53727
105.41188,12.08203,36.15255,41.17382,94.92419
108.53040,20.86242,47.04249,47.98028,122.38793
105.73840,15.68223,41.62101,50.51601,112.02036
81.94169,9.82587,29.79317,42.19484,79.67716
54.70329,12.67743,30.76230,37.97943,56.39534
-6.33736,-3.07509,18.90487,20.82831,3.97485
-16.10673,2.53904,17.91936,24.51215,-7.65046
-14.35887,0.40634,9.40440,17.82951,-6.13922
-27.61604,-9.91080,-0.18483,0.13051,-22.13309
-23.90248,-6.42242,4.38219,-1.56182,-24.82440
-31.92233,-18.10546,-7.26285,-12.55813,-28.46549
-13.11127,0.78025,8.33853,9.46855,-4.80627
10.80109,15.75661,26.94702,24.24261,10.16500
8.28853,2.83401,21.99331,7.27485,1.30262
-5.72297,2.72845,23.01149,6.05882,-4.77641
-47.10757,-8.35839,8.24412,-9.68746,-43.25476
-47.72329,-3.96276,6.44638,-7.66366,-51.48598
-32.89837,1.09762,12.48536,8.41700,-36.81099
-35.96026,-0.88848,16.21157,13.45484,-32.32832
-22.73005,11.34879,29.03010,26.00506,-14.93635
-40.41794,-6.11762,11.98793,3.95189,-34.27951
-43.71045,-7.83072,14.91787,-4.02138,-43.48694
-25.64211,3.58217,31.68727,14.43152,-29.99184
-27.62962,-3.53244,16.59585,11.25901,-30.51157
-16.11312,7.89439,12.22371,15.63945,-14.65038
-13.65556,8.08662,8.53555,15.50763,-10.00791
-3.15141,13.46983,18.09864,31.87600,0.36714
4.17908,18.79967,28.61469,43.06900,4.36301
-13.79762,6.01247,14.55758,17.22782,-17.32361
-9.69729,11.22633,15.47323,15.66944,-8.86571
-10.34250,-0.27830,8.94995,11.58376,-6.43720
-2.65432,1.32926,13.37210,13.95104,-5.57413
1.64778,12.18692,24.77424,21.15236,-4.48154
-19.61777,-7.31170,10.58481,-0.98914,-22.72418
-1.15472,5.21379,21.08609,14.21767,-3.68742
1.80940,15.23514,21.87110,18.30085,-3.25592
-17.93346,8.57362,10.65106,-6.27682,-25.58243
-14.44511,8.89251,12.73295,-3.05109,-20.54376
-21.67199,-1.63747,-1.64780,-6.06112,-21.18649
-13.44623,16.01101,7.15778,-0.82422,-7.95814
-17.71842,25.26329,9.05786,-4.89132,-15.10771
-38.43534,16.99094,-11.75356,-18.34808,-37.77489
-29.42902,26.16722,-6.44440,-2.00805,-23.04565
-21.35181,23.70578,3.16162,6.91975,-13.81376
-18.11398,23.05641,9.15980,3.61818,-15.79807
-37.29787,9.90962,-6.93780,-19.04949,-38.04754
-39.36021,8.23510,-12.83646,-16.70682,-38.26422
-5.63184,31.45587,9.81392,15.98108,2.04368
-15.27162,13.61319,-7.03462,-9.81026,-8.07376
-18.96225,0.44082,-20.52539,-20.11650,-19.89926
-8.80691,0.90453,-15.05915,2.13383,-7.15379
-17.64061,-1.53801,-18.16101,-6.80140,-8.30218
-11.94740,14.09648,-12.22971,-9.28178,-6.67036
-17.82935,7.17304,-19.03013,-9.14881,-18.58867
-13.58255,8.03209,-13.16546,3.26980,-12.62086
-4.00818,14.35963,-6.21793,6.32092,-5.13771
-6.49877,7.04613,-14.89465,-8.60724,-14.04358
2.42106,14.74107,-7.87223,-1.63327,-4.51138
-17.95701,2.43672,-23.26345,-21.94010,-23.57625
-24.79931,6.48948,-27.09751,-26.21106,-30.38914
-12.73453,16.10805,-11.76282,-0.35841,-12.32484
-27.78322,-7.91446,-26.53097,-11.51539,-25.16915
-21.26672,0.66167,-25.89522,-9.19295,-21.16621
-12.93329,10.54396,-16.42060,5.69524,-9.66359
-8.61298,7.00800,-7.62639,14.85056,-2.86226
-2.55683,7.90231,-2.07818,14.95143,-0.54988
