EEG.AF3,EEG.T7,EEG.Pz,EEG.T8,EEG.AF4
-517.29404,-538.18579,-526.19878,-542.82584,-514.57247
-501.90952,-517.67309,-514.91680,-533.59513,-504.82906
-468.06333,-491.00634,-484.14751,-495.13346,-474.05977
-451.65317,-472.54492,-456.96807,-471.54386,-454.05977
-438.31968,-454.08325,-446.71172,-472.05655,-437.64937
-437.29404,-452.03198,-452.35259,-471.54386,-431.49556
-443.44785,-456.13452,-447.73735,-456.67203,-436.62374
-432.16587,-441.77563,-429.78862,-443.33878,-431.49556
-418.83262,-435.62182,-422.60918,-443.85147,-421.75191
-415.75571,-435.62182,-421.58355,-435.64640,-411.49556
-414.21714,-433.57055,-421.07061,-424.87711,-404.82906
-404.98643,-421.26293,-410.81426,-425.39005,-398.16231
-401.90952,-419.21142,-405.17315,-433.08219,-397.64937
-410.62754,-429.46801,-415.94243,-436.15909,-407.90596
-408.57627,-425.36547,-421.58355,-430.51822,-408.41866
-408.06333,-421.26293,-422.09624,-431.54386,-407.39302
-417.80698,-429.46801,-432.35259,-439.23600,-411.49556
-415.24277,-429.46801,-425.68608,-433.08219,-404.31612
-409.08897,-423.31420,-410.81426,-424.36441,-400.21358
-411.14023,-417.16015,-412.35259,-428.97965,-406.88033
-413.70444,-421.26293,-414.40386,-432.05655,-408.93160
-400.37095,-413.05761,-399.01934,-414.62076,-394.57247
-390.11460,-400.75000,-389.27568,-403.33878,-383.29049
-409.60190,-411.00634,-408.25005,-422.82584,-398.67501
-416.26841,-419.21142,-430.81426,-434.62076,-406.36739
-398.31968,-408.95507,-421.58355,-418.21036,-392.52120
-386.01206,-398.69873,-401.07061,-408.46695,-379.70064
-390.62754,-402.80127,-406.19878,-419.74894,-382.26485
-407.03770,-419.21142,-422.09624,-434.62076,-407.39302
-398.83262,-421.26293,-414.91680,-434.62076,-403.80342
-348.06333,-400.75000,-393.37822,-416.15909,-347.90596
-279.85825,-384.33984,-378.50640,-388.97965,-282.77779
-205.49937,-380.23706,-369.27568,-372.05655,-222.26485
-127.03794,-390.49365,-373.89116,-384.36441,-155.59810
-45.49937,-390.49365,-382.60918,-384.87711,-78.67501
-0.88364,-376.13452,-372.86553,-357.18473,-36.11104
-22.42222,-382.28857,-365.68608,-360.77457,-57.64962
-59.85825,-396.64746,-367.22441,-390.51822,-92.00850
-95.75571,-402.80127,-374.91680,-397.69767,-120.72628
-141.39683,-413.05761,-379.01934,-381.80021,-158.67501
-184.98643,-415.10888,-371.83989,-377.18473,-193.54683
-228.06333,-423.31420,-378.50640,-400.77457,-229.44429
-253.70444,-421.26293,-380.04497,-404.36441,-254.05977
-263.44785,-413.05761,-367.73735,-376.15909,-264.82906
-287.55064,-415.10888,-373.37822,-374.62076,-283.80342
-333.19150,-429.46801,-399.01934,-408.97965,-324.31612
-366.01206,-445.87817,-410.30132,-426.92838,-356.62374
-371.65317,-445.87817,-401.58355,-422.82584,-362.26485
-377.80698,-433.57055,-390.81426,-421.80021,-370.46993
-381.39658,-429.46801,-386.71172,-410.51822,-376.62374
-385.49937,-435.62182,-396.45513,-405.39005,-373.03414
-406.01206,-445.87817,-402.09624,-423.85147,-387.39302
-417.29404,-441.77563,-397.48076,-426.92838,-403.80342
-422.42222,-445.87817,-410.30132,-427.44132,-412.52120
-423.96079,-454.08325,-420.04497,-435.64640,-411.49556
-416.78135,-445.87817,-409.78862,-423.33878,-400.72628
