EEG.AF3,EEG.T7,EEG.Pz,EEG.T8,EEG.AF4
202.92838164,13.53709226,8.46544193,12.94693796,163.01405749
449.19778882,34.01095764,20.49917677,38.08322665,363.55581768
379.14188519,42.15232578,24.52870415,52.90284111,309.88017883
297.36465986,42.15348293,23.06316582,52.74909763,240.93543154
285.67421213,28.73331474,13.68704633,44.58018288,229.01142758
214.27415485,23.94693603,9.80081448,35.68448142,172.94565542
167.43558637,30.14131992,8.93674963,15.68343599,133.22978586
122.89431202,13.36541814,0.12356903,-7.57230562,93.27822623
93.26173699,7.23946970,9.89128510,6.30069042,70.69663990
77.74629658,23.54794992,22.30972563,32.25281580,61.19253443
41.10586222,13.55547451,-0.93486192,11.64317780,30.26315729
7.36263077,-7.39715863,-21.41158609,-17.44909433,-1.23727826
-1.57034942,0.31213434,-8.33997560,3.47682180,-12.66087467
-10.10395420,12.30426222,-0.06893141,26.06550699,-19.16352062
-28.03308095,2.47039642,-8.11590072,9.71759959,-31.03724450
-39.82906906,-7.47483005,-11.26702351,0.06653141,-41.29760105
-45.50610999,-4.66956945,-13.60935489,3.57420770,-45.41030418
-59.85903677,-14.27963379,-20.99470242,-9.81028028,-57.11863293
-68.79631114,-26.89480634,-21.35888192,-16.68588106,-70.52688600
-58.39298793,-14.69422194,-14.11689552,-8.39321100,-64.31280091
-62.98940540,-14.24234898,-16.24698013,-13.58268155,-64.19170585
-89.20962580,-39.62528766,-25.01369572,-24.00733523,-85.59552017
-100.59232972,-45.56330430,-25.09437575,-26.56837043,-97.25284401
-94.21841706,-37.65892744,-25.52637954,-28.32268301,-92.10611255
-88.79551654,-45.42142464,-31.80716612,-23.90040781,-85.78184177
-92.05058426,-49.10636911,-32.54290198,-22.62540751,-85.89527686
-93.07284823,-31.76988464,-25.37840153,-26.42680771,-83.87726473
-81.16655502,-19.52827421,-14.83863395,-15.45146208,-71.72463483
-70.41553999,-26.43702575,-6.98661556,-10.40183355,-64.34828065
-73.69295963,-27.92244907,-5.03114663,-16.11995193,-70.49320227
-79.29806308,-16.79436789,-3.86971027,2.25309594,-73.81806186
-78.48301535,-16.94575391,-4.47508157,15.38324880,-68.32900170
-88.03215189,-33.81855228,-12.25334600,-9.88876039,-75.35770949
-95.16577405,-38.52796482,-15.37986206,-22.78230101,-82.31984334
-75.31658698,-23.60564815,-11.77010884,-8.06912321,-63.13094524
-66.06809443,-22.97613755,-20.63493192,-10.12832309,-52.00502942
-80.76050090,-32.67463382,-27.56935944,-15.77974634,-63.24289888
-81.69029186,-25.28622396,-14.64038007,-3.96723232,-64.83915855
-71.37795894,-15.63310655,-6.39687903,-3.04477213,-57.48570222
-62.45478863,-11.79786057,-3.97359680,-7.96591153,-51.39872888
-56.07162559,-8.72154147,2.96605925,1.49416526,-49.19442225
-61.16978367,-13.98469086,-2.00079983,5.60153818,-53.16235460
-69.18283977,-22.90034015,-12.31184651,-6.44175330,-54.89365520
-68.57690994,-23.24381087,-13.33169245,-20.20278011,-57.16895527
-57.74110221,-11.32460169,-8.00894131,-16.68745950,-54.04779046
-45.47420963,0.95481762,-1.64556725,2.78318344,-38.43105139
-43.64748847,3.73313708,-1.74617943,7.36266819,-30.69831985
-43.97089645,-0.24842166,-5.90798938,-6.49680787,-33.40813297
-39.87828337,-7.81214711,-5.63563568,-7.50987345,-29.58914459
