EEG.AF3,EEG.T7,EEG.Pz,EEG.T8,EEG.AF4
-7.32708,-4.19775,9.44456,14.40409,4.20635
-16.46709,-11.47673,27.83842,29.81264,7.24690
-18.86339,-14.69870,23.09891,18.48436,-2.86972
-26.92088,-14.43605,13.61314,4.29285,-15.66629
-33.39718,-12.63336,21.03911,-2.53555,-21.86270
-29.28617,-12.96262,12.42802,-8.05323,-25.50145
-23.72436,-15.17434,8.86863,-7.90186,-23.75093
-23.89103,-15.25522,3.10232,-9.11508,-22.28400
-23.57132,-15.28553,-12.54438,-7.69539,-23.64005
-14.34549,-18.94057,-0.72145,2.85616,-15.05794
-10.45909,-26.86379,-1.23345,6.42125,-5.74657
-15.57877,-32.18885,-7.84884,-5.34009,-10.46799
-17.49976,-26.54903,-3.50909,-10.29362,-18.47796
-21.68074,-20.61641,-9.60062,-4.44046,-19.75762
-29.60926,-29.45054,-8.38532,-10.12564,-18.20529
-24.67474,-39.34954,-13.03477,-17.40804,-13.63570
-8.06504,-34.56696,-6.61994,-6.10739,-2.01957
-2.87397,-30.09812,5.25854,-0.85190,2.69982
-8.76282,-30.60417,-6.21897,-12.95558,-4.11110
-8.26449,-22.23921,-5.17879,-16.49737,-7.40547
-8.09342,-17.42541,-7.54263,-12.09096,-9.85157
-14.71727,-22.96981,-9.14265,-15.47829,-13.34615
-16.92591,-16.66451,-3.61295,-22.54974,-15.28624
-14.52082,-2.28234,-17.33032,-20.78337,-19.51447
-16.59012,-9.21357,-13.99397,-12.97043,-22.00653
-21.19818,-23.02272,-11.82627,-14.69741,-25.53000
-16.60538,-10.92437,-17.06636,-20.75820,-27.27669
-9.84057,0.89827,-8.57861,-18.91157,-19.92496
-13.50708,-14.33525,-13.90440,-11.97379,-15.55016
-14.16562,-23.34953,-9.42303,-4.61584,-15.69857
-11.89299,-9.56414,-6.29520,-2.74804,-12.36408
-18.07397,-7.68207,-12.49634,-5.87186,-9.84143
-21.09470,-17.83576,-4.05226,-4.48317,-8.93382
-14.72317,-4.22038,-5.56890,0.01501,-5.25932
-5.86648,15.98280,-0.63448,-0.26657,0.21641
0.73194,13.34397,-0.00977,-2.00956,3.42991
4.10383,9.08160,-7.48443,-0.01903,10.04183
8.50886,17.39705,2.29686,3.63146,23.25393
18.17713,20.61277,-2.71425,5.08595,30.88695
24.91265,12.76329,-0.86324,-1.39444,29.76521
15.00253,7.72943,3.68095,-7.78841,25.04455
3.95260,10.23597,-6.13461,3.68023,21.52356
10.79666,10.54429,3.56705,17.84614,20.62207
18.02874,9.39180,5.20871,13.02855,13.09074
15.35906,10.02830,3.99747,3.29368,2.71449
14.23078,6.76458,1.18305,-2.80351,-0.10681
17.84213,4.04641,-12.83806,-9.79228,5.21127
20.89896,7.25565,-7.90810,-12.78300,12.81411
13.78691,6.83321,-19.08062,-14.10314,7.98124
1.32806,-0.73314,-26.24903,-13.24072,-0.65304
1.82454,0.45660,-7.42451,-8.30337,4.20157
8.99442,11.63846,-7.41523,-10.80832,8.46423
1.83652,11.58674,-8.51026,-20.89875,0.20292
-15.10025,-1.39460,-12.18150,-22.05814,-12.54451
-18.70392,-5.28679,-12.35771,-9.06466,-18.36217
-13.45268,0.16272,-8.31037,-2.32095,-17.19602
-13.32106,0.06315,-20.66959,-7.81875,-9.29848
-5.42660,5.46230,-10.33064,-1.88272,7.04554
3.78307,16.13962,-2.74625,8.95962,8.85982
-4.22685,10.52722,-11.54115,0.44927,-5.72662
-18.53265,2.23050,-5.61019,-10.68333,-17.37146
-23.99815,13.99786,1.94016,-4.71196,-29.30410
-21.86647,23.48898,19.30217,2.32132,-35.06656
-25.85589,14.32337,16.73863,-1.31948,-32.55494
-30.36213,10.67214,4.50636,-3.09730,-27.13860
-16.30016,13.45858,16.65144,2.92077,-10.44661
-8.76909,4.79891,6.68640,2.67631,-6.60474
-20.17188,-3.98178,-10.60625,-12.49949,-18.69258
-29.48860,-6.99305,-27.21729,-29.50035,-28.24841
