EEG.AF3,EEG.T7,EEG.Pz,EEG.T8,EEG.AF4
197.19961,15.36847,44.01555,68.21772,-321.35199
192.58438,17.41974,46.57951,70.26899,-310.58270
224.37930,9.21467,40.42571,65.65327,-309.55707
252.07168,5.11213,37.86174,65.14058,-306.99286
243.35342,13.31720,44.01555,67.70454,-294.17255
237.19961,25.62482,51.19524,70.26899,-282.89032
246.94326,27.67609,57.34905,71.29438,-274.17255
236.17422,17.41974,53.75920,59.49946,-283.91596
235.14834,23.57355,54.27190,63.60200,-288.01850
245.40469,31.77912,59.40032,73.85884,-264.94159
234.63565,15.36847,46.06682,58.47407,-257.24945
243.35342,19.47101,48.11809,56.42280,-257.24945
253.61026,35.88166,67.09270,73.34565,-238.78778
228.48184,31.77912,69.14397,74.37153,-230.06977
200.27676,31.77912,63.50285,61.55073,-244.42890
206.94326,31.77912,60.93889,53.34565,-244.94159
225.40469,27.67609,68.63078,66.67915,-225.96723
209.50772,17.41974,72.73332,74.88423,-218.27509
193.09707,19.47101,66.06682,68.21772,-206.48017
206.43057,35.88166,76.83635,72.32026,-183.91596
205.91787,39.98420,84.52824,72.32026,-179.30072
185.91787,31.77912,74.27190,60.52534,-183.40326
177.19961,29.72736,69.65666,58.98677,-184.42890
184.89199,31.77912,64.52824,65.14058,-177.24945
194.63565,29.72736,62.47698,72.32026,-165.96723
186.43057,35.88166,66.57951,76.93550,-169.55707
175.14834,44.08674,65.04143,70.26899,-170.06977
159.25088,21.52228,45.04143,35.91011,-170.58270
120.78945,-3.09295,12.22063,-11.78228,-204.42890
97.19961,-1.04168,-2.65095,-32.80815,-241.35199
106.94326,11.26593,11.19524,-14.34673,-236.22382
121.30215,25.62482,36.83635,23.60200,-194.17255
138.73819,31.77912,51.70793,48.21772,-158.27509
160.27676,35.88166,50.68205,50.78169,-151.09540
164.89199,52.29181,61.45158,55.91011,-150.07001
153.09707,50.24054,66.57951,64.11519,-148.53144
153.61026,33.83039,52.73332,62.06392,-145.45429
157.71279,33.83039,47.60539,48.21772,-135.71112
141.30215,37.93293,49.65666,38.98677,-132.63397
137.19961,44.08674,54.78459,52.32026,-129.04413
150.02041,46.13801,50.16936,53.85884,-124.94159
154.12295,33.83039,32.22063,35.39692,-122.89032
137.19961,21.52228,20.42571,17.44819,-130.58270
106.94326,19.47101,15.81047,6.16645,-152.12128
106.94326,35.88166,21.45158,20.01265,-143.40302
124.89199,39.98420,14.78459,28.21772,-120.83905
126.43057,25.62482,5.04143,19.49946,-121.35175
105.91787,21.52228,18.88762,18.47407,-128.01874
83.86660,25.62482,29.65666,14.88423,-119.81366
99.76406,33.83039,35.81047,17.44819,-101.35175
119.25088,37.93293,40.93889,22.57661,-94.68524
91.55899,35.88166,34.27190,8.73042,-113.14667
55.14834,31.77912,28.63078,-4.08989,-137.24921
56.68692,31.77912,29.14397,-4.08989,-138.27509
72.58438,39.98420,32.22063,-1.52593,-122.89032
58.73819,29.72736,30.68205,-6.65435,-128.01874
44.37930,19.47101,25.55412,-9.73101,-139.30048
54.63565,33.83039,29.65666,-0.50054,-123.40302
48.48184,35.88166,21.96428,1.55073,-111.60810
26.43057,17.41974,-5.72810,-17.93608,-129.04413
22.84072,9.21467,-12.90730,-29.73101,-141.86493
40.27676,27.67609,6.06682,-13.32085,-131.60810
49.50772,37.93293,13.75920,-3.06450,-115.71112
43.35342,21.52228,-6.24080,-14.85942,-105.45429
47.45596,19.47101,-8.29207,-8.70562,-89.04413
42.84072,37.93293,10.16936,2.06392,-84.42890
30.53311,42.03547,10.68205,-4.08989,-90.58270
43.35342,39.98420,11.19524,0.52534,-79.81366
43.86660,31.77912,9.65666,-0.50054,-86.48017
16.17422,21.52228,2.99016,-12.29546,-101.86493
8.48184,27.67609,13.24651,-15.37212,-91.60810
20.27676,23.57355,15.81047,-17.42339,-80.83905
22.32803,13.31720,11.19524,-15.37212,-78.78778
24.89199,17.41974,17.86174,-11.78228,-76.73651
45.40469,35.88166,28.11809,-11.26958,-67.50556
48.48184,37.93293,30.16936,-13.83355,-59.30048
21.30215,33.83039,21.96428,-16.91069,-59.81366
27.96914,39.98420,18.88762,-14.85942,-52.12128
53.09707,33.83039,11.70793,-22.55181,-51.60810
47.96914,27.67609,4.52824,-31.26958,-60.83905
40.78945,33.83039,16.83635,-23.06450,-48.01874
52.07168,33.83039,17.86174,-18.96196,-20.32636
70.02041,35.88166,14.27190,-15.37212,7.87872
96.68692,42.03547,25.04143,-5.62847,30.95587
113.61026,37.93293,25.55412,2.57661,49.92999
71.04580,27.67609,13.24651,-4.60308,74.03253
58.73819,25.62482,9.65666,-22.55181,109.41730
168.48184,37.93293,20.93889,-15.37212,166.34015
223.35342,44.08674,25.04143,-9.73101,203.77618
126.43057,37.93293,14.78459,-27.67974,189.92999
94.12295,27.67609,11.70793,-24.60308,163.26349
166.94326,25.62482,19.40032,-5.11577,154.54571
136.68692,31.77912,31.19524,-1.52593,161.72491
44.37930,23.57355,27.60539,-14.34673,145.82745
56.17422,13.31720,3.50285,-32.29546,105.82745
74.63565,19.47101,-6.24080,-43.06450,65.82745
11.55899,17.41974,-2.13826,-36.39800,39.67364
-11.51816,17.41974,1.45158,-15.88481,49.92999
10.53311,21.52228,1.45158,-11.78228,58.64825
-2.80039,15.36847,-10.34334,-23.06450,38.64825
-15.10801,9.21467,-13.93318,-23.06450,32.49444
-12.03086,9.21467,-15.98445,-21.52593,39.16095
-0.23594,13.31720,-17.00984,-18.96196,42.75079
25.40469,13.31720,-8.29207,-12.80815,58.64825
25.40469,1.00959,-12.39461,-18.44927,59.67364
-4.85166,-1.04168,-20.08699,-25.62847,37.62237
-18.18467,5.11213,-14.95857,-28.19292,37.10968
7.96914,9.21467,-5.72810,-29.21831,58.13507
21.30215,7.16340,-6.24080,-31.78228,57.10968
-11.51816,-5.14422,-21.62556,-46.14116,25.31476
-27.92832,-11.29803,-25.72810,-55.88481,4.80206
-14.08213,-15.40057,-19.06111,-49.21831,17.10968
-15.10801,-13.34930,-11.88191,-30.75689,37.62237
-21.26181,-3.09295,-1.62556,-19.98735,33.51983
-13.56943,-9.24676,-13.93318,-31.26958,16.59698
-11.00547,-19.50311,-30.34334,-37.93608,17.62237
-24.33847,-21.55438,-25.72810,-35.88481,21.72491
-25.36435,-15.40057,-18.54842,-30.75689,22.23761
-8.95420,-13.34930,-16.49715,-24.60308,26.85333
-6.90293,-15.40057,-14.95857,-28.70562,26.34015
-7.92832,-5.14422,-10.85603,-33.32085,31.46856
1.81533,-3.09295,-16.49715,-34.34673,36.59698
-2.28721,-15.40057,-28.29207,-33.32085,26.34015
-28.95420,-23.60565,-34.44588,-34.34673,13.00714
-54.08213,-33.86199,-46.24080,-48.70562,-0.32636
-52.03086,-37.96453,-46.24080,-51.78228,4.28888
-55.62070,-35.91326,-32.39461,-47.16704,2.75079
-59.72324,-42.06707,-35.47176,-49.73101,-14.68524
-16.64658,-37.96453,-37.52302,-41.01323,1.72491
0.78945,-33.86199,-34.95857,-36.39800,24.80206
-34.08213,-33.86199,-31.88191,-41.01323,9.92999
-41.26181,-42.06707,-21.11238,-36.39800,-5.45429
-46.90293,-50.27264,-25.72810,-35.37212,-3.40302
-76.13340,-50.27264,-39.06111,-48.19292,-13.65985
-62.80039,-66.68280,-54.95857,-84.60308,-47.50556
-48.44101,-89.24676,-79.57429,-117.93608,-72.12128
-112.54404,-93.34930,-85.72810,-111.78228,-76.73651
-128.44101,-76.93914,-57.00984,-76.39800,-49.04413
-42.80039,-56.42645,-29.83064,-49.21831,-0.83905
-1.26181,-52.32391,-34.44588,-44.60308,3.77618
